"y","x"
1,"i liked the Da Vinci Code a lot."
1,"The Da Vinci Code is an * amazing * book, do not get me wrong."
1,"i love da vinci code...."
1,"very da vinci code slash amazing race."
1,"Hey I loved The Da Vinci Code!.."
1,"also loved the da vinci code.."
1,"I do like Angels and Demons more then The Da Vinci Code."
1,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband."
1,"The Da Vinci Code is excellent if you read it as normal as you read other novels,,,.."
1,"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. )."
1,"I LOVE THE DA VINCI CODE..."
1,"I loved The Da Vinci Code."
1,"The Da Vinci Code is an awesome book."
1,"The Da Vinci Code is still one of the most awesomest books ive ever read..."
1,"The Da Vinci Code is awesome!.."
1,"I love the Da Vinci Code too."
1,"shit, i love the da vinci code."
1,"the da vinci code was an awesome book, i just finished it."
1,"I LOVE THE DA VINCI CODE!!."
1,"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside."
1,"I loved the da vinci code...."
1,"The Da Vinci Code was awesome."
1,"Oh oh oh and I loved The Da Vinci Code!"
1,"I love the Da Vinci code..."
1,"and I love Da Vinci Code-illustrated edition is the only way to go!:).."
1,"Love the Da Vinci Code!("
1,"and i love Da Vinci Code too.."
1,"I loved The Da Vinci Code, and I thought Angels & Demons was pretty good right up until the end where he kind of lost it a bit."
1,"Personally I loved The Da Vinci Code, its a great thriller."
1," The Da Vinci Codeit was AWESOME."
1,"The Da Vinci Code is AWESOME!."
1,"I loved the da vinci code."
1,"+ love undercover 3 + The Da Vinci Code...."
1,"outta all three i just loved the da vinci code."
1,"i really loved the da vinci code."
1,"The book da vinci code is awesome."
1,"And I love the Da Vinci Code("
1,"Da Vinci code was awesome!!!"
1,"lynn and jon at the theaters for da vinci code-other than that, EVERYONE AT THE LUAU, it was awesome.."
1,"The Da Vinci Code was an awesome movie."
1,"As for movies, The Da Vinci Code was awesome and all of the protests against it make me sad to know that so many people who share my religion are idiots..."
1,"The Da Vinci Code is like one of the AWESOMEST books!!!"
